父亲工作,父亲职业重新编码,母亲工作,母亲职业重新编码
中铁六局太原铁路建设公司,国企,鑫智点交通设施有限公司,民企
凯信会议服务有限公司,民企,长城国际旅行社有限责任公司,民企
银光聚银化工有限公司,国企,九亩花田蛋糕店,个体户
元拓科技咨询有限公司,民企,中国平安财险股份有限公司,民企
市广播电视大学,事业单位,市实验中学,事业单位
"市经济合作局
",公务员,"县住房保障中心
",公务员
区建豪汽修中心,民企,家庭主妇,家庭主父母
区建豪汽修中心,民企,家庭主妇,家庭主父母
陕西省水利水电第三工程局,国企,二十一冶,国企
渭源陇原恒新畜牧科技有限公司,民企,XX路街道诚信社区,公务员
市民政局,公务员,矿冶职业技术学院,事业单位
北京路九洋菜市场刘伟鲜面店,个体户,北京路九洋菜市场刘伟鲜面店,个体户
市第一人民医院,事业单位,公路应急保障与路网监测中心,公务员
市农业农村局,公务员,市委编办,公务员
老姐饺子馆,个体户,无,无
大市场清华电动工具,个体户,家庭主妇,家庭主父母
市统计局,公务员,个体,个体户
盛泰房地产公司,民企,家庭主妇,家庭主父母
盛泰房地产公司,民企,家庭主妇,家庭主父母
县瑞金路锦辉消防工程有限公司,民企,家庭主妇,家庭主父母
市农业综合行政执法队,公务员,宏信房地资产评估公司,民企
大禹工程咨询有限公司,民企,纺织路街道办,公务员
市中级人民法院,公务员,农行XXX县支行,国企
家庭父亲,家庭主父母,白银区公园路街道办事处,公务员
市旅游局,公务员,大自然旅行社,民企
陇风巢浴,个体户,凤巢浴足,个体户
XXX镇政府,公务员,美年大健康有限公司,民企
市团委,公务员,区应急管理局,公务员
万盛体能拓展中心鑫多米便利店,个体户,北门流觞烟酒,个体户
市公安局,公务员,区人民法院,公务员
家庭父母,家庭主父母,家庭父母,家庭主父母
公安局,公务员,市给排水（集团）有限公司,国企
西区管委会,公务员,市人社局,公务员
市住建局,公务员,市科学技术局,公务员
XXX建设局,公务员,区住建局 ,公务员
银中源工贸有限公司,民企,家庭主妇,家庭主父母
广东省中海油,国企,家庭主妇,家庭主父母
娟红杂粮食府,个体户,娟红杂粮食府,个体户
市政管理处,公务员,区妇幼保健站,事业单位
中国兵器工业公司三冶炼,国企,无,无
万民工程建设有限公司,民企,新疆省和田市个体药店,个体户
市公安局,公务员,省第三人民医院,事业单位
省监狱局,公务员,区人民法院,公务员
家庭主妇,家庭主父母,家庭主妇,家庭主父母
江苏路之久工程建设有限公司,民企,家庭主妇,家庭主父母
市财政局,公务员,市教育局,公务员
市财政局,公务员,泰安学校教职工,事业单位
瑞禾农资,个体户,市委统战部,公务员
市纪委,公务员,市公安局交警支队,公务员
市委办,公务员,市审计局,公务员
第十一中学北侧校园书店,个体户,顶新文化公司,民企
长通公司,民企,市育才学校,事业单位
市住建局,公务员,区融媒体中心,事业单位
